name, mass, prot,Ro,logRX,fV,B2(1e5G2),B(kG),Pol,Dip,Quad,Oct,Asym
EV Lac (06), 0.32, 4.38, 6.8, −3.3, 0.11, 4.48, 0.57, 87, 60, 13, 3, 33/36 
EV Lac (07), –, –, –, –, 0.10, 3.24, 0.49, 98, 75, 10, 3, 28/31 
YZ CMi (07), 0.31, 2.77, 4.2, −3.1, 0.11, 5.66, 0.56, 92, 69, 10, 5, 56/61 
YZ CMi (08), –, –, –, –, 0.11, 4.75, 0.55, 97, 72, 11, 8, 85/86 
AD Leo (07), 0.42, 2.24, 4.7, −3.2, 0.14, 0.61, 0.19, 99, 56, 12, 5, 95/97 
AD Leo (08), –, –, –, –, 0.14, 0.61, 0.18, 95, 63, 9, 3, 85/88 
EQ Peg A (06), 0.39, 1.06, 2.0, −3.0, 0.11, 2.73, 0.48, 85, 70, 6, 6, 69/70 
EQ Peg B (06), 0.25, 0.40, 0.5, −3.3, NaN, 2.38, 0.45, 97, 79, 8, 5, 92/94 
V374 Peg (05), 0.28, 0.45, 0.6, −3.2, NaN, 6.55, 0.78, 96, 72, 12, 7, 75/76 
V374 Peg (06), –, –, –, –, Nan, 4.60, 0.64, 96, 70, 17, 4, 76/77 
