name,mass,Prot,Ro,fV,B2(1e5G2),B(kG),Pol,Dip,Quad,Oct,Asym
GJ 51a (06), 0.21, 1.02, 1.2, 0.12, 38.6, 1.61, 99, 96, 0, 2, 91/91 
GJ 51a (07), –, –, –, 0.12, 31.3, 1.58, 99, 92, 0, 6, 77/77 
GJ 51a (08), –, –, –, 0.12, 32.6, 1.65, 97, 92, 1, 3, 89/89 
GJ 1156b (07), 0.14, 0.49, 0.5, 1.0, 0.06, 0.05, 88, 30, 26, 19, 6/3 
GJ 1156b (08), –, –, –, 1.0, 0.19, 0.11, 83, 41, 28, 11, 20/12 
GJ 1156b (09), –, –, –, 1.0, 0.13, 0.10, 94, 54, 24, 10, 2/1 
GJ 1245 B (06), 0.12, 0.71, 0.7, 0.06, 0.44, 0.17, 80, 45, 14, 13, 15/9 
GJ 1245 B (07), –, –, –, 0.10, 0.49, 0.18, 84, 46, 27, 7, 52/53 
GJ 1245 B (08), –, –, –, 0.10, 0.06, 0.06, 85, 33, 25, 19, 20/18 
WX UMa (06), 0.10, 0.78, 0.8, 0.12, 16.08, 0.89, 97, 66, 21, 6, 92/92 
WX UMa (07), –, –, –, 0.12, 24.42, 0.94, 97, 71, 13, 3, 92/94 
WX UMa (08), –, –, –, 0.12, 23.53, 1.03, 97, 69, 19, 6, 83/85 
WX UMa (09), –, –, –, 0.12, 37.54, 1.06, 96, 89, 2, 2, 95/96 
DX Cnc (07), 0.10, 0.46, 0.5, 0.20, 0.17, 0.11, 93, 69, 11, 9, 77/77 
DX Cnc (08), –, –, –, 0.20, 0.09, 0.08, 73, 31, 25, 10, 49/34 
DX Cnc (09), –, –, –, 0.20, 0.09, 0.08, 62, 42, 11, 4, 70/61 
GJ 3622 (08), 0.09, 1.5, 1.5, 1.0, 0.04, 0.05, 96, 90, 7, –, 73/72 
GJ 3622 (09), –, –, –, 1.0, 0.05, 0.06, 93, 84, 9, –, 80/78 
