#Table: J/MNRAS/441/2361/table1.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
G|               |            |      |    |    |      | |     |      |     |     |        |        |
r|               |            |      |    |    |      |l|     |      |     |     |        |        |
o|               |            |      |    |    |      |_|     |      |     | log1|        |        |
u|               |            |      |    |  Ra|      |R|     |      | log1|0(LX/|        |       O|
p|Star           |n_Star      |SpType|Mass|dius|  Prot|o|   Ro|   Age|0(LX)|Lbol)|  <|BV|>|bs.Epoch|Ref
-|---------------|------------|------|----|----|------|-|-----|------|-----|-----|--------|--------|----------------------------------------------------------------------------------------------------------------------------
1|HD   3651      |            |K0V   |0.88|0.88|43.4  | |1.916|8200. |27.23|-6.07|   3.01 |-       |Petit2014, 2014MNRAS.444.3517M, 2011A&A...530A..73C
1|HD   9986      |            |G5V   |1.02|1.04|23.0  | |1.621|4300. |-    |-    |   0.517|-       |Petit2014, 2014MNRAS.444.3517M
1|HD  10476      |            |K1V   |0.82|0.82|16.0  | |0.576|8700. |27.15|-6.07|   1.51 |-       |Petit2014, 2014MNRAS.444.3517M, 2006ARep...50..579K
1|HD  20630      |            |G5Vv  |1.03|0.95| 9.30 | |0.593| 600. |28.79|-4.71|  11.3  |2012 Oct|2014IAUS..302..142D, 2014MNRAS.444.3517M, 2010ApJ...714..384R, 2012ApJ...753...76W
1|HD  22049      |            |K2Vk  |0.86|0.77|10.3  | |0.366| 440. |28.32|-4.78|   8.76 |-       |Petit2014, 2014MNRAS.444.3517M, 2008A&A...488..771J, 2012ApJ...753...76W
1|HD  39587      |            |G0VCH |1.03|1.05| 4.83 | |0.295| 500. |28.99|-4.64|   9.85 |-       |Petit2014, 2014MNRAS.444.3517M, 2003AJ....125.1980K, 2012ApJ...753...76W
1|HD  56124      |            |G0    |1.03|1.01|18.0  | |1.307|4500. |29.44|-4.17|   1.81 |-       |Petit2014, 2014MNRAS.444.3517M, 2011ApJ...743...48W
1|HD  72905      |            |G1.5Vb|1.00|1.00| 5.00 | |0.272| 500. |28.97|-4.64|   7.49 |-       |Petit2014, 2014MNRAS.444.3517M, 2003AJ....125.1980K, 2012ApJ...753...76W
1|HD  73350      |            |G5V   |1.04|0.98|12.3  | |0.777| 510. |28.76|-4.80|   5.86 |-       |Petit2014, 2014MNRAS.444.3517M, 2009ApJ...698.1068P
1|HD  75332      |            |F7Vn  |1.21|1.24| 4.80 |>|1.105|1800. |29.56|-4.35|   5.52 |-       |Petit2014, 2014MNRAS.444.3517M, 2007Ap.....50..187B
1|HD  76151      |            |G3V   |1.24|0.98|20.5  | |-    |3600. |28.34|-5.23|   5.05 |2007 Jan|2008MNRAS.388...80P, 2003A&A...397..147P
1|HD  78366      |            |F9V   |1.34|1.03|11.4  |>|2.781|2500. |28.94|-4.74|   3.54 |2011    |2011AN....332..866M, Petit2014, 2006ARep...50..579K
1|HD  78366      |            |F9V   |1.34|1.03|11.4  |>|2.781|2500. |28.94|-4.74|   8.55 |2008    |2011AN....332..866M, Petit2014, 2006ARep...50..579K
